Date,Close,Change,Open,High,Low,Volume,Tziros
11/11/2019,0.39,"-3,7406%","0,4","0,4","0,3855",378.914,"147.770,57"
12/11/2019,0.41,"5,5699%",386,408,385,206.08,"82.184,05"
13/11/2019,0.39,"-3,6810%",408,"0,4095",392,314.296,"125.047,41"
14/11/2019,0.41,"4,2038%",403,409,"0,3935",256.789,"103.514,32"
15/11/2019,0.40,"-2,2005%","0,41",418,399,693.418,"280.030,41"
18/11/2019,0.40,"0,0000%","0,4095","0,4095",391,517.022,"208.227,80"
19/11/2019,0.40,"-0,8750%","0,4","0,4025","0,39",174.372,"69.365,89"
20/11/2019,0.41,"2,1438%",386,409,386,343.202,"137.913,56"
21/11/2019,0.41,"0,0000%",404,"0,4125","0,4",326.72,"133.533,96"
22/11/2019,0.41,"0,2469%",406,417,406,242.412,"99.864,27"
25/11/2019,0.40,"-2,2167%",406,"0,4135",393,339.835,"136.793,43"
26/11/2019,0.39,"-2,1411%","0,3945",402,387,392.149,"154.466,08"
27/11/2019,0.39,"1,4157%","0,39","0,3945","0,39",182.757,"71.657,93"
28/11/2019,0.39,"-1,3959%",392,"0,3965","0,3885",163.993,"64.279,98"
29/11/2019,0.39,"-0,3861%",395,395,385,651.628,"253.088,87"
02/12/2019,0.38,"-2,3256%",385,389,375,323.932,"123.776,53"
03/12/2019,0.37,"-1,3228%","0,3785",385,"0,3705",309.843,"116.226,50"
04/12/2019,0.37,"-0,2681%",378,"0,3785","0,37",75.561,"28.195,73"
05/12/2019,0.37,"-0,5376%","0,37",374,366,142.331,"52.945,78"
06/12/2019,0.37,"-0,9459%","0,3705","0,3705",362,134.044,"49.231,47"
09/12/2019,0.36,"-2,4557%",367,367,354,244.686,"87.556,88"
10/12/2019,0.36,"0,1399%","0,3585",365,357,279.542,"100.615,98"
11/12/2019,0.37,"4,6089%",369,375,359,145.179,"53.754,68"
12/12/2019,0.38,"0,4005%",369,378,364,130.527,"48.394,48"
13/12/2019,0.38,"1,0638%","0,3775","0,3875",376,143.327,"54.732,85"
16/12/2019,0.37,"-3,9474%","0,3885","0,3885",365,129.296,"48.500,91"
