date,close,open,high,low,volume,change
23-Feb-11,1307.40,"1,315.44","1,317.91","1,299.55",-,-0.61%
24-Feb-11,1306.10,"1,307.09","1,310.91","1,294.26",-,-0.10%
25-Feb-11,1319.88,"1,307.34","1,320.61","1,307.34",-,1.06%
28-Feb-11,1327.22,"1,321.61","1,329.38","1,320.55",-,0.56%
1-Mar-11,1306.33,"1,328.64","1,332.09","1,306.14",-,-1.57%
2-Mar-11,1308.44,"1,305.47","1,314.19","1,302.58",-,0.16%
3-Mar-11,1330.97,"1,312.37","1,332.28","1,312.37",-,1.72%
4-Mar-11,1321.15,"1,330.73","1,331.08","1,312.59",-,-0.74%
7-Mar-11,1310.13,"1,322.72","1,327.68","1,303.99",-,-0.83%
8-Mar-11,1321.82,"1,311.05","1,325.74","1,306.86",-,0.89%
9-Mar-11,1320.02,"1,319.92","1,323.21","1,312.27",-,-0.14%
10-Mar-11,1295.11,"1,315.72","1,315.72","1,294.21",-,-1.89%
11-Mar-11,1304.28,"1,293.43","1,308.35","1,291.99",-,0.71%
14-Mar-11,1296.39,"1,301.19","1,301.19","1,286.37",-,-0.60%
15-Mar-11,1281.87,"1,288.46","1,288.46","1,261.12",-,-1.12%
16-Mar-11,1256.88,"1,279.46","1,280.91","1,249.05",-,-1.95%
17-Mar-11,1273.72,"1,261.61","1,278.88","1,261.61",-,1.34%
18-Mar-11,1279.21,"1,276.71","1,288.88","1,276.18",-,0.43%
21-Mar-11,1298.38,"1,281.65","1,300.58","1,281.65",-,1.50%
22-Mar-11,1293.77,"1,298.29","1,299.35","1,292.70",-,-0.36%
23-Mar-11,1297.54,"1,292.19","1,300.51","1,284.05",-,0.29%
24-Mar-11,1309.66,"1,300.61","1,311.34","1,297.74",-,0.93%
25-Mar-11,1313.80,"1,311.80","1,319.18","1,310.15",-,0.32%
28-Mar-11,1310.19,"1,315.45","1,319.74","1,310.19",-,-0.27%
29-Mar-11,1319.44,"1,309.37","1,319.45","1,305.26",-,0.71%
30-Mar-11,1328.26,"1,321.89","1,331.74","1,321.89",-,0.67%
31-Mar-11,1325.83,"1,327.44","1,329.77","1,325.03",-,-0.18%
1-Apr-11,1332.41,"1,329.48","1,337.85","1,328.89",-,0.50%
4-Apr-11,1332.87,"1,333.56","1,336.74","1,329.10",-,0.03%
